Abla,ANTONIO MANUEL,ORTIZ,OLIVA,13-06-2015,PSOE-A
Abrucena,ANTONIO,TORRES,RUIZ,13-06-2015,P.P.
Adra,MANUEL,CORTÉS,PÉREZ,13-06-2015,P.P.
Albánchez,ANA ISABEL,PADILLA,SAEZ,13-06-2015,AIpAL
Alboloduy,SONIA MARIA,GUIL,SORIANO,13-06-2015,P.P.
Albox,FRANCISCO,TORRECILLAS,SÁNCHEZ,03-08-2016,CILUS
Alcolea,ANTONIO,OCAÑA,BAÑOS,13-06-2015,PARA LA GENTE
Alcóntar,ANTONIO RAMON,SALAS,RODRIGUEZ,13-06-2015,P.P.
Alcudia de Monteagud,JUAN BLAS,MARTINEZ,SANCHEZ,13-06-2015,P.P.
Alhabia,JOSE,NUÑEZ,CASTILLA,13-06-2015,PSOE-A
Alhama de Almería,CRISTOBAL,RODRIGUEZ,LOPEZ,13-06-2015,P.P.
Alicún,ANTONIO,NAVARRO,LOPEZ,13-06-2015,PSOE-A
Almería,RAMON,FERNANDEZ-PACHECO,MONTERREAL,28-11-2015,P.P.
Almócita,FRANCISCO,GARCIA,GARCIA,13-06-2015,PSOE-A
Alsodux,MANUEL NICOLAS,CUADRA,GONZALEZ,13-06-2015,PSOE-A
Antas,ISABEL,BELMONTE,SOLER,13-06-2015,P.P.
Arboleas,CRISTOBAL,GARCIA,GRANADOS,13-06-2015,PSOE-A
Armuña de Almanzora,JOSE,BERRUEZO,PADILLA,13-06-2015,PSOE-A
Bacares,JOSE,SEGURA,JIMENEZ,13-06-2015,PSOE-A
Bayárcal,JACINTO,NAVARRO,FERNANDEZ,13-06-2015,PSOE-A
Bayarque,ANGELES,MIRALLAS,JIMENEZ,13-06-2015,PSOE-A
Bédar,ANGEL FRANCISCO,COLLADO,FERNANDEZ,13-06-2015,PSOE-A
Beires,CARMEN,GONZALEZ,GARVI,13-06-2015,P.P.
Benahadux,MARIA DEL CARMEN,SORIANO,MARTINEZ,22-07-2016,PSOE-A
Benitagla,JUAN,PADILLA,PADILLA,13-06-2015,P.P.
Benizalón,EMILIO,CID,ALONSO,13-06-2015,P.P.
Bentarique,DOLORES LAURA,CASTRO,ORTA,13-06-2015,PSOE-A
Berja,ANTONIO,TORRES,LOPEZ,13-06-2015,P.P.
Canjáyar,FRANCISCO,ALONSO,MARTINEZ,13-06-2015,P.P.
Cantoria,PURIFICACION,SANCHEZ,ARANEGA,13-06-2015,PSOE-A
Carboneras,FELIPE,CAYUELA,HERNANDEZ,16-05-2018,GICAR
Castro de Filabres,FRANCISCO,MARTINEZ,SOLA,13-06-2015,PSOE-A
Cóbdar,JOSE,FUENTES,FERNANDEZ,13-06-2015,P.P.
Cuevas del Almanzora,ANTONIO,FERNANDEZ,LIRIA,13-06-2015,PSOE-A
Chercos,JOSE ANTONIO,TORRES ,SAEZ,13-06-2015,P.P.
Chirivel,EMMA,SOLA,GARCIA,13-06-2015,PSOE-A
Dalías,FRANCISCO,GIMENEZ,CALLEJON,13-06-2015,PSOE-A
Enix,ALVARO,IZQUIERDO,ALVAREZ,13-06-2015,P.P.
Felix,BALDOMERO,MARTINEZ,CARRETERO,13-06-2015,P.P.
Fines,RODRIGO,SANCHEZ,SIMON,13-06-2015,P.P.
Fiñana,RAFAEL,MONTES,RINCON,13-06-2015,PSOE-A
Fondón,FRANCISCO ANDRES,ALVAREZ,AGUILERA,13-06-2015,P.P.
Gádor,LOURDES,RAMOS,RODRIGUEZ,07-07-2016,P.P.
"Gallardos, Los",MARIA,GONZALEZ,MARTINEZ,15-06-2015,PSOE-A
Garrucha,MARIA,LOPEZ,CERVANTES,13-06-2015,PSOE-A
Gérgal,MIGUEL,GUIJARRO,PARRA,13-06-2015,P.P.
Huécija,JUAN JOSE,RAMIREZ,ANDRES,13-06-2015,PSOE-A
Huércal de Almería,ISMAEL,TORRES,MIRAS,13-06-2015,P.P.
Huércal-Overa,DOMINGO,FERNANDEZ,ZURANO,13-06-2015,P.P.
Illar,CARMELO,LLOBREGAT,TORRES,13-06-2015,P.P.
Instinción,FRANCISCO EMILIO,ALEX,BRUQUE,13-06-2015,PSOE-A
Laroya,DOLORES,MORENO,SOBRINO,13-06-2015,P.P.
Láujar de Andarax,ALMUDENA,MORALES,ASENSIO,13-06-2015,AVL
Líjar,SERGIO,SANCHEZ,REQUENA,13-06-2015,PSOE-A
Lubrín,DOMINGO JOSE,RAMOS,CAMACHO,13-06-2015,PSOE-A
Lucainena de las Torres,Juan,Herrera,Segura,13-06-2015,P.P.
Lúcar,JOSE,GONZALEZ,SAEZ,13-06-2015,PSOE-A
Macael,RAUL,MARTINEZ,REQUEJO,13-06-2015,P.P.
María,FRANCISCO,MARTINEZ,REINA,13-06-2015,P.P.
Mojácar,ROSA MARIA,CANO,MONTOYA,13-06-2015,P.P.
Nacimiento,HERMINIA,UROZ,IGLESIAS,13-06-2015,PSOE-A
Níjar,ESPERANZA,PEREZ,FELICES,13-06-2015,PSOE-A
Ohanes,EUFRONIO,HERNANDEZ,CARRETERO,13-06-2015,PSOE-A
Olula de Castro,CRISTIAN,QUERO,GIL,13-06-2015,PSOE-A
Olula del Río,ANTONIO,MARTINEZ,PASCUAL,13-06-2015,P.P.
Oria,MARCOS,RECHE,GALERA,13-06-2015,P.P.
Padules,ANTONIO,GUTIERREZ,ROMERO,13-06-2015,PSOE-A
Partaloa,ANTONIO,PEÑUELA,GONZALEZ,13-06-2015,ADEPART
Paterna del Río,JOSE,ASENSIO,AGUILA,13-06-2015,PSOE-A
Pechina,JUAN MANUEL,LOPEZ,RODRIGUEZ,13-06-2015,PSOE-A.
Pulpí,JUAN PEDRO,GARCIA,PEREZ,13-06-2015,P.P.
Purchena,JUAN MIGUEL,TORTOSA,CONCHILLO,13-06-2015,PSOE-A
Rágol,MIGUEL,RODRIGUEZ,COLOMINA,13-06-2015,P.P.
Rioja,MARIA ISABEL,SANCHEZ,SILES,13-06-2015,PARA LA GENTE
Roquetas de Mar,GABRIEL,AMAT,AYLLON,13-06-2015,P.P.
Santa Cruz de Marchena,FELIPE SALVADOR,BERENGUEL,GONZALEZ,13-06-2015,P.P.
Santa Fe de Mondújar,TRINIDAD,GONGORA,ESCAMEZ,13-06-2015,PSOE-A
Senés,FRANCISCO JAVIER,SOLA,GOLBANO,13-06-2015,P.P.
Serón,JUAN ANTONIO,LORENZO,CAZORLA,13-06-2015,PSOE-A
Sierro,JUAN,RUBIO,CANO,13-06-2015,P.P.
Somontín,MERCEDES,NAVIO,TORRES,13-06-2015,P.P.
Sorbas,JOSE,FERNANDEZ,AMADOR,13-06-2015,P.P.
Suflí,RAUL,GUIRAO,LIRIA,13-06-2015,P.P.
Tabernas,JOSE,DIAZ,IBAÑEZ,13-06-2015,PSOE-A
Taberno,ANTONIO,MARTOS,SANCHEZ,13-06-2015,P.P.
Tahal,TRINIDAD,JIMENEZ,MORALES,13-06-2015,PSOE-A
Terque,JOSE NICOLAS,AYALA,AMATE,13-06-2015,PSOE-A
Tíjola,MARIO,PADILLA,MALDONADO,13-06-2015,P.P.
Turre,MARIA ISABEL,LOPEZ,ALIAS,22-02-2017,PSOE-A
Turrillas,JUAN ANTONIO,SEGURA,FELICES,13-06-2015,P.P.
Uleila del Campo,JUAN JOSE,FUENTES,YEPES,13-06-2015,P.P.
Urrácal,MARIA ISABEL,SERRANO,CAÑABATE,13-06-2015,PSOE-A
Velefique,RAFAEL,GARCIA,SOLA,13-06-2015,PARA LA GENTE
Vélez-Blanco,ANTONIO,CABRERA,GEA,13-06-2015,PSOE-A
Vélez-Rubio,MIGUEL,MARTINEZ-CARLON,MANCHON,09-07-2015,P.P.
Vera,FELIX MARIANO,LOPEZ,CAPARROS,13-06-2015,PARTIDO ANDALUCISTA
Viator,MANUEL JESUS,FLORES,MALPICA,13-06-2015,PSOE-A
Vícar,ANTONIO,BONILLA,RODRIGUEZ,13-06-2015,PSOE-A
Zurgena,LUIS,DIAZ,GARCIA,13-06-2015,PSOE-A
"Tres Villas, Las",VIRTUDES TERESA,PEREZ,CASTILLO,13-06-2015,PSOE-A
"Ejido, El",FRANCISCO,GONGORA,CARA,13-06-2015,P.P.
"Mojonera, La",JOSE MIGUEL,HERNANDEZ,GARCIA,13-06-2015,tod@s
