Monturque,MARIA TERESA,ROMERO,PEREZ,13-06-2015,PSOE-A
Moriles,FRANCISCA ARACELI,CARMONA,ALCANTARA,13-06-2015,PSOE-A
Nueva Carteya,VICENTE,TAPIA,EXPOSITO,13-06-2015,IULV-CA
Obejo,PEDRO,LÓPEZ,MOLERO,07-02-2017,P.P.
Palenciana,JOSE,GAMEZ,GOMEZ,13-06-2015,PA
Palma del Río,JOSE ANTONIO,RUIZ,ALMENARA,13-06-2015,P.S.O.E.-A
Pedro Abad,MAGDALENA,LUQUE,CANALEJO,13-06-2015,IULV-CA
Pedroche,SANTIAGO,RUIZ,GARCIA,13-06-2015,PSOE-A
Peñarroya-Pueblonuevo,JOSÉ IGNACIO,EXPÓSITO,PRATS,13-06-2015,PSOE-A
Posadas,EMILIO,MARTINEZ,PEDRERA,13-06-2015,P.S.O.E.-A
Pozoblanco,SANTIAGO,CABELLO,MUÑOZ,14-06-2017,P.P.
Priego de Córdoba,JOSE MANUEL,MARMOL,SERVIAN,08-05-2017,P.S.O.E.-A
Puente Genil,ESTEBAN,MORALES,SANCHEZ,13-06-2015,PSOE-A
"Rambla, La",ALFONSO,OSUNA,COBOS,13-06-2015,IULV-CA
Rute,ANTONIO,RUIZ,CRUZ,13-06-2015,PSOE-A
San Sebastián de los Ballesteros,FRANCISCO,ANSIO,ORTEGA,13-06-2015,pueblo
Santaella,JOSE,ALVAREZ,RIVAS,13-06-2015,PSOE-A
Santa Eufemia,ELIAS,ROMERO,CEJUDO,13-06-2015,PSOE-A
Torrecampo,FRANCISCO CARLOS,DEL CASTILLO,CAÑIZARES,13-06-2015,P.P.
Valenzuela,ANTONIO,PEDREGOSA,MONTILLA,13-06-2015,P.P.
Valsequillo,FRANCISCO,REBOLLO,MOHEDANO,13-06-2015,PSOE-A
"Victoria, La",JOSE,ABAD,PINO,13-06-2015,VAMOS
Villa del Río,EMILIO,MONTERROSO,CARRILLO,13-06-2015,PSOE-A
Villafranca de Córdoba,FRANCISCO,PALOMARES,SÁNCHEZ,13-06-2015,PSOE-A
Villaharta,ALFONSO,EXPÓSITO,GALÁN,13-06-2015,PSOE-A
Villanueva de Córdoba,DOLORES GERMANA,SANCHEZ,MORENO,13-06-2015,P.P.
Villanueva del Duque,MARIA ISABEL,MEDINA,MURILLO,13-06-2015,P.P.
Villanueva del Rey,PEDRO,BARBA,PAZ,13-06-2015,PSOE-A
Villaralto,ANGEL,GOMEZ,FERNANDEZ,13-06-2015,IULV-CA
Villaviciosa de Córdoba,RAFAEL,RIVAS,CABELLO,13-06-2015,PSOE-A
"Viso, El",JUAN,DÍAZ,CABALLERO,13-06-2015,PSOE-A
Zuheros,MANUELA,ROMERO,CAMACHO,13-06-2015,PSOE-A
