Alájar,MARIA DEL CARMEN,OSORNO,SEVILLANO,13-06-2015,P.S.O.E-A
Aljaraque,YOLANDA MARIA,RUBIO,VILLODRES,13-06-2015,PSOE-A
"Almendro, El",MARÍA ALONSO,MORA,NÚÑEZ,13-06-2015,PSOE-A
Almonaster la Real,JACINTO JOSE,VAZQUEZ,LOPEZ,13-06-2015,P.S.O.E-A
Almonte,MARIA DEL ROCIO,ESPINOSA,DE LA TORRE,13-06-2015,PSOE-A
Alosno,JUAN,CAPELA,TORRESCUSA,13-06-2015,PSOE-A
Aracena,MANUEL,GUERRA,GONZALEZ,13-06-2015,P.S.O.E- A
Aroche,ANTONIO,MUÑIZ,CARRASCO,13-06-2015,P.S.O.E.-A
Arroyomolinos de León,FLOR DE JARA,HERNANDEZ,BRIOSO,13-06-2015,P.S.O.E.-A
Ayamonte,MANUEL ALBERTO,FERNÁNDEZ,RODRÍGUEZ,13-06-2015,PP
Beas,DIEGO LORENZO,BECERRIL,PEREZ,13-06-2015,IxBEAS
Berrocal,JUAN JESUS,BERMEJO,DELGADO,13-06-2015,PSOE-A
Bollullos Par del Condado,ISABEL MARIA,VALDAYO,FERNANDEZ,03-07-2017,IB
Bonares,JUAN ANTONIO,GARCÍA,GARCÍA,13-06-2015,PSOE-A
Cabezas Rubias,RAFAEL,GONZALEZ,GUZMAN,13-06-2015,PSOE-A
Cala,FIDEL,CASILLA,NUÑEZ,13-06-2015,IULV-CA
Calañas,MARIO,PEÑA,GONZALEZ,13-06-2015,PP
"Campillo, El",SUSANA,RIVAS,PINEDA,13-06-2015,PSOE-A
Campofrío,MERCEDES,LOPEZ,CARRION,13-06-2015,P.S.O.E.-A
Cañaveral de León,MERCEDES,GORDO,MARQUEZ,22-05-2018,ICXH
Cartaya,JUAN MIGUEL,POLO,PLANA,13-06-2015,ICAR
Castaño del Robledo,SUSANA,OLIVA,VAZQUEZ,13-06-2015,P.S.O.E.-A
"Cerro de Andévalo, El",PEDRO JOSE,ROMERO,RUBIO,13-06-2015,PSOE-A
Corteconcepción,CANDIDO,HACHA,BARRANQUERO,13-06-2015,P.S.O.E.-A
Cortegana,JOSE ENRIQUE,BORRALLO,ROMERO,13-06-2015,P.P.
Cortelazor,FRANCO JAVIER,DE PABLOS,CANDON,13-06-2015,P.S.O.E.-A
Cumbres de Enmedio,EULOGIO,PAEZ,PAEZ,13-06-2015,P.S.O.E.-A
Cumbres de San Bartolomé,MARIA ANGELES,CARVAJO,DOMINGUEZ,13-06-2015,C's
Cumbres Mayores,RAMON,CASTAÑO,GONZALEZ,13-06-2015,P.S.O.E.-A
Chucena,ENCARNACION,CASTELLANO,SOLIS,13-06-2015,PSOE-A
Encinasola,ANGEL,MENDEZ,CORTEGANO,13-06-2015,IULV-CA
Escacena del Campo,EULOGIO,BURRERO,SALAZAR,13-06-2015,AEVE
Fuenteheridos,RAUL ESTEBAN,PEREZ,VAZQUEZ,31-07-2017,P.S.O.E.-A
Galaroza,ANTONIO,SOSA,MUÑIZ,13-06-2015,P.S.O.E.-A
Gibraleón,MARIA LOURDES,MARTIN,PALANCO,13-06-2015,PSOE-A
"Granada de Río-Tinto, La",JOSE JUSTO,MARTIN,PIZARRO,13-06-2015,IULV-CA
"Granado, El",MARÍA DOLORES,HERRERA,MEDINA,13-06-2015,PSOE-A
Higuera de la Sierra,ENRIQUE,GARZON,ALVAREZ,13-06-2015,P.S.O.E.-A
Hinojales,ANGEL,CARBALLAR,UCEDA,13-06-2015,ICXH
Hinojos,MIGUEL ANGEL,CURIEL,REINOSO,13-06-2015,PSOE-A.
Huelva,GABRIEL,CRUZ,SANTANA,13-06-2015,PSOE-A
Isla Cristina,MONTSERRAT,MARQUEZ,CRISTOBAL,25-07-2017,AGRUPACION DE ELECTORES CIUDADANOS POR ISLA
Jabugo,GILBERTO,DOMINGUEZ,SANCHEZ,09-10-2017,P.S.O.E.-A
Lepe,JUAN MANUEL,GONZÁLEZ,CAMACHO,13-06-2015,PP
Linares de la Sierra,JUAN MIGUEL,RAMOS,MARTIN,13-06-2015,AEPILS
Lucena del Puerto,DAVID,VIVAS,OJUELOS,13-06-2015,PSOE-A
Manzanilla,CRISTOBAL,CARRILLO,RETAMAL,13-06-2015,PSOE-A
"Marines, Los",ISRAEL,ARIAS,ARANDA,13-06-2015,P.S.O.E.-A
Minas de Riotinto,ROSA MARIA,CABALLERO,MUÑOZ,13-06-2015,P.P.
Moguer,GUSTAVO,CUÉLLAR,CRUZ,13-06-2015,PSOE-A
"Nava, La",INMACULADA,MORALES,DOMINGUEZ,09-05-2017,P.S.O.E.-A
Nerva,JOSE ANTONIO,AYALA,OPORTO,14-07-2017,PSOE-A
Niebla,LAURA,PICHARDO,ROMERO,13-06-2015,PSOE-A
"Palma del Condado, La",MANUEL,GARCIA,FELIX,13-06-2015,P.P.
Palos de la Frontera,CARMELO,ROMERO,HERNÁNDEZ,13-06-2015,P.P.
Paterna del Campo,JUAN SALVADOR,DOMINGUEZ,ORTEGA,13-06-2015,PSOE-A
Paymogo,MARIA DOLORES,FERNANDEZ,AGUSTIÑO,13-06-2015,PSOE-A
Puebla de Guzmán,ANTONIO,BELTRAN,MORA,13-06-2015,PSOE-A
Puerto Moral,MARIO,GUZMAN,DOMINGUEZ,13-06-2015,P.S.O.E.-A
Punta Umbría,AURORA CORONADA,AGUEDO,BORRERO,23-02-2016,PSOE-A
Rociana del Condado,DIEGO,PICHARDO,RIVERO,13-06-2015,PSOE-A
Rosal de la Frontera,ANTONIO,CARLOS,VAZQUEZ,13-06-2015,PARTIDO ANDALUCISTA
San Bartolomé de la Torre,MANUEL JESUS,DOMINGUEZ,LIMON,13-06-2015,PSOE-A
San Juan del Puerto,MARIA DEL ROCIO,CARDENAS,FERNANDEZ,13-06-2015,PSOE-A
Sanlúcar de Guadiana,JOSÉ MARÍA,PÉREZ,DÍAZ,13-06-2015,PP
San Silvestre de Guzmán,JOSEFA,MAGRO,GONZÁLEZ,13-06-2015,PSOE-A
Santa Ana la Real,JOSE ANTONIO,RAMOS,BLAZQUEZ,13-06-2015,P.S.O.E.-A
Santa Bárbara de Casa,GONZALA,GOMEZ,SANTOS,13-06-2015,PSOE-A
Santa Olalla del Cala,ANTONIO,PLAZA,BARRERO,13-06-2015,P.P.
Trigueros,CRISTOBAL,ROMERO,MARQUEZ,13-06-2015,PSOE-A
Valdelarco,RAFAEL,LOPEZ,OLIVERA,13-06-2015,P.S.O.E.-A
Valverde del Camino,MANUEL,CAYUELA,MORA,07-11-2016,PP
Villablanca,JOSÉ MANUEL,ZAMORA,DE LA CRUZ,13-06-2015,PP
Villalba del Alcor,SEBASTIAN,FERNANDEZ,PEREZ,13-06-2015,PSOE-A
Villanueva de las Cruces,ALONSO,LIMON,MACIAS,13-06-2015,PP
Villanueva de los Castillejos,DOLORES,RUIZ,BELTRÁN,13-06-2015,PSOE-A
Villarrasa,ILDEFONSO,MARTIN,BARRANCA,13-06-2015,PSOE-A
Zalamea la Real,MARCOS,GARCIA,NUÑEZ,13-06-2015,IULV-CA
Zufre,ROSA MARÍA,VILLA,NÚÑEZ,20-12-2017,IULV-CA
